0#[0, 1, 2, 3, 4, 5, 6]
2100000#[0, 1, 2, 3, 4, 5, 6]
11010#[0, 1, 2, 3, 4, 5, 6]
3#[0, 1, 2, 3, 4, 5, 6]
1001100#[0, 1, 2, 3, 4, 5, 6]
100101#[0, 1, 2, 3, 4, 5, 6]
20100#[0, 1, 2, 3, 4, 5, 6]
1000200#[0, 1, 2, 3, 4, 5, 6]
21000#[0, 1, 2, 3, 4, 5, 6]
101001#[0, 1, 2, 3, 4, 5, 6]
12#[0, 1, 2, 3, 4, 5, 6]
2010000#[0, 1, 2, 3, 4, 5, 6]
100110#[0, 1, 2, 3, 4, 5, 6]
10002#[0, 1, 2, 3, 4, 5, 6]
1200000#[0, 1, 2, 3, 4, 5, 6]
101010#[0, 1, 2, 3, 4, 5, 6]
2000010#[0, 1, 2, 3, 4, 5, 6]
110100#[0, 1, 2, 3, 4, 5, 6]
21#[0, 1, 2, 3, 4, 5, 6]
111000#[0, 1, 2, 3, 4, 5, 6]
10011#[0, 1, 2, 3, 4, 5, 6]
30#[0, 1, 2, 3, 4, 5, 6]
1002000#[0, 1, 2, 3, 4, 5, 6]
2000001#[0, 1, 2, 3, 4, 5, 6]
20001#[0, 1, 2, 3, 4, 5, 6]
1000110#[0, 1, 2, 3, 4, 5, 6]
100002#[0, 1, 2, 3, 4, 5, 6]
10020#[0, 1, 2, 3, 4, 5, 6]
1001001#[0, 1, 2, 3, 4, 5, 6]
200100#[0, 1, 2, 3, 4, 5, 6]
20010#[0, 1, 2, 3, 4, 5, 6]
1000101#[0, 1, 2, 3, 4, 5, 6]
100011#[0, 1, 2, 3, 4, 5, 6]
201000#[0, 1, 2, 3, 4, 5, 6]
300#[0, 1, 2, 3, 4, 5, 6]
110001#[0, 1, 2, 3, 4, 5, 6]
30000#[0, 1, 2, 3, 4, 5, 6]
1200#[0, 1, 2, 3, 4, 5, 6]
2100#[0, 1, 2, 3, 4, 5, 6]
100020#[0, 1, 2, 3, 4, 5, 6]
1011000#[0, 1, 2, 3, 4, 5, 6]
3000#[0, 1, 2, 3, 4, 5, 6]
1010100#[0, 1, 2, 3, 4, 5, 6]
110010#[0, 1, 2, 3, 4, 5, 6]
1001010#[0, 1, 2, 3, 4, 5, 6]
120000#[0, 1, 2, 3, 4, 5, 6]
200001#[0, 1, 2, 3, 4, 5, 6]
1000011#[0, 1, 2, 3, 4, 5, 6]
200010#[0, 1, 2, 3, 4, 5, 6]
201#[0, 1, 2, 3, 4, 5, 6]
1000002#[0, 1, 2, 3, 4, 5, 6]
1101#[0, 1, 2, 3, 4, 5, 6]
2001#[0, 1, 2, 3, 4, 5, 6]
210#[0, 1, 2, 3, 4, 5, 6]
210000#[0, 1, 2, 3, 4, 5, 6]
1100100#[0, 1, 2, 3, 4, 5, 6]
1010010#[0, 1, 2, 3, 4, 5, 6]
1110#[0, 1, 2, 3, 4, 5, 6]
10200#[0, 1, 2, 3, 4, 5, 6]
1101000#[0, 1, 2, 3, 4, 5, 6]
2010#[0, 1, 2, 3, 4, 5, 6]
1000020#[0, 1, 2, 3, 4, 5, 6]
11100#[0, 1, 2, 3, 4, 5, 6]
1010001#[0, 1, 2, 3, 4, 5, 6]
1110000#[0, 1, 2, 3, 4, 5, 6]
12000#[0, 1, 2, 3, 4, 5, 6]
300000#[0, 1, 2, 3, 4, 5, 6]
102#[0, 1, 2, 3, 4, 5, 6]
100200#[0, 1, 2, 3, 4, 5, 6]
1002#[0, 1, 2, 3, 4, 5, 6]
3000000#[0, 1, 2, 3, 4, 5, 6]
101100#[0, 1, 2, 3, 4, 5, 6]
1020000#[0, 1, 2, 3, 4, 5, 6]
111#[0, 1, 2, 3, 4, 5, 6]
102000#[0, 1, 2, 3, 4, 5, 6]
1100001#[0, 1, 2, 3, 4, 5, 6]
1011#[0, 1, 2, 3, 4, 5, 6]
10101#[0, 1, 2, 3, 4, 5, 6]
2001000#[0, 1, 2, 3, 4, 5, 6]
120#[0, 1, 2, 3, 4, 5, 6]
11001#[0, 1, 2, 3, 4, 5, 6]
1100010#[0, 1, 2, 3, 4, 5, 6]
2000100#[0, 1, 2, 3, 4, 5, 6]
1020#[0, 1, 2, 3, 4, 5, 6]
10110#[0, 1, 2, 3, 4, 5, 6]
