pf,versionId,downloadUrl
xiaomi,10,http://192.168.1.160/guaji_newuiv5.apk
oppo,10,http://192.168.1.160/guaji_newuiv5.apk
m91,10,http://192.168.1.160/guaji_newuiv5.apk
dangle,10,http://192.168.1.160/guaji_newuiv5.apk
uc,10,http://192.168.1.160/guaji_newuiv5.apk
duoku,10,http://192.168.1.160/guaji_newuiv5.apk
m360,10,http://192.168.1.160/guaji_newuiv5.apk
lenovo,10,http://192.168.1.160/guaji_newuiv5.apk
soumi,10,http://192.168.1.160/guaji_newuiv5.apk
huawei,10,http://192.168.1.160/guaji_newuiv5.apk
wan37,10,http://192.168.1.160/guaji_newuiv5.apk
wandoujia,10,http://192.168.1.160/guaji_newuiv5.apk
baiduyun,10,http://192.168.1.160/guaji_newuiv5.apk
baidutl,10,http://192.168.1.160/guaji_newuiv5.apk
meizu,10,http://192.168.1.160/guaji_newuiv5.apk
self,10,http://192.168.1.160/guaji_newuiv5.apk
web9g,10,http://192.168.1.160/guaji_newuiv5.apk
jinli,10,http://192.168.1.160/guaji_newuiv5.apk
yinyongbao,10,http://192.168.1.160/guaji_newuiv5.apk
hnliantong,10,http://192.168.1.160/guaji_newuiv5.apk
kd,10,http://192.168.1.160/guaji_newuiv5.apk
